value_loss,policy_entropy,time_elapsed,fps,serial_timesteps,total_timesteps,clipfrac,approxkl,policy_loss,nupdates,explained_variance,eprewmean,eplenmean
0.08171505,1.5941042,22528.223978996277,19,1228800,19660800,0.006036377,0.02680234,0.0036590002,600,0.0062386393547058105,nan,nan
0.1700369,1.5915128,192154.37799429893,19,1433600,22937600,0.011383057,0.0031648402,0.000924053,700,0.00475388765335083,nan,nan
